idx,x,type,high,open,close,low
586,1164,bull,649.87,611.39,649.87,611.39
587,1168,bear,600.40,600.40,519.77,519.77
588,1170,bull,534.43,497.78,534.43,497.78
589,1174,bull,701.18,668.20,701.18,668.20
590,1175,bull,534.43,497.78,534.43,497.78
591,1176,bear,638.88,638.88,558.25,558.25
592,1178,bull,629.72,598.57,629.72,598.57
593,1180,bear,638.88,638.88,558.25,558.25
594,1182,bull,602.23,574.74,602.23,574.74
595,1183,bull,629.72,598.57,629.72,598.57
596,1185,bear,627.88,627.88,598.57,598.57
597,1186,bull,602.23,574.74,602.23,574.74
598,1188,bear,572.91,572.91,519.77,519.77
599,1190,bear,627.88,627.88,598.57,598.57
600,1192,bear,572.91,572.91,519.77,519.77
601,1193,bull,550.92,545.43,550.92,545.43
602,1194,bear,591.24,591.24,576.58,576.58
603,1198,bull,550.92,545.43,550.92,545.43
604,1200,bear,565.58,565.58,550.92,550.92
605,1204,bull,637.05,620.55,637.05,620.55
606,1205,bear,565.58,565.58,550.92,550.92
607,1206,bear,585.74,585.74,501.45,501.45
608,1208,bull,682.86,550.92,682.86,550.92
609,1210,bear,585.74,585.74,501.45,501.45
610,1212,bear,442.81,442.81,435.48,435.48
611,1213,bull,682.86,550.92,682.86,550.92
612,1215,bear,670.03,670.03,664.53,664.53
613,1216,bear,442.81,442.81,435.48,435.48
614,1218,bear,561.92,561.92,497.78,497.78
615,1220,bear,670.03,670.03,664.53,664.53
616,1222,bear,561.92,561.92,497.78,497.78
617,1223,bear,651.71,651.71,600.40,600.40
618,1224,bull,499.62,451.97,499.62,451.97
619,1228,bear,651.71,651.71,600.40,600.40
620,1230,bull,812.96,600.40,812.96,600.40
621,1234,bull,538.10,501.45,538.10,501.45
622,1235,bull,812.96,600.40,812.96,600.40
623,1236,bull,550.92,530.77,550.92,530.77
624,1238,bear,1027.35,1027.35,922.90,922.90
625,1240,bull,550.92,530.77,550.92,530.77
626,1242,bull,796.46,668.20,796.46,668.20
627,1243,bear,1027.35,1027.35,922.90,922.90
628,1245,bull,961.38,928.40,961.38,928.40
629,1246,bull,796.46,668.20,796.46,668.20
630,1248,bear,792.80,792.80,783.64,783.64
631,1250,bull,961.38,928.40,961.38,928.40
632,1252,bear,792.80,792.80,783.64,783.64
633,1253,bear,955.88,955.88,946.72,946.72
634,1254,bull,869.76,814.79,869.76,814.79
635,1258,bear,955.88,955.88,946.72,946.72
636,1260,bull,891.75,840.44,891.75,840.44
637,1264,bull,897.25,772.64,897.25,772.64
638,1265,bull,891.75,840.44,891.75,840.44
639,1266,bull,1014.52,961.38,1014.52,961.38
640,1268,bull,983.37,902.74,983.37,902.74
641,1270,bull,1014.52,961.38,1014.52,961.38
642,1272,bear,1032.84,1032.84,999.86,999.86
643,1273,bull,983.37,902.74,983.37,902.74
644,1275,bull,1007.19,992.53,1007.19,992.53
645,1276,bear,1032.84,1032.84,999.86,999.86
646,1278,bull,1034.68,961.38,1034.68,961.38
647,1280,bull,1007.19,992.53,1007.19,992.53
648,1282,bull,1034.68,961.38,1034.68,961.38
649,1283,bull,1069.49,1045.67,1069.49,1045.67
650,1284,bear,1009.02,1009.02,994.36,994.36
651,1288,bull,1069.49,1045.67,1069.49,1045.67
652,1290,bear,1073.16,1073.16,1056.66,1056.66
653,1294,bull,994.36,979.70,994.36,979.70
654,1295,bear,1073.16,1073.16,1056.66,1056.66
655,1296,bull,1051.17,992.53,1051.17,992.53
656,1298,bull,1018.18,1005.36,1018.18,1005.36
657,1300,bull,1051.17,992.53,1051.17,992.53
658,1302,bear,1032.84,1032.84,959.55,959.55
659,1303,bull,1018.18,1005.36,1018.18,1005.36
660,1305,bear,994.36,994.36,983.37,983.37
661,1306,bear,1032.84,1032.84,959.55,959.55
662,1308,bear,974.21,974.21,946.72,946.72
663,1310,bear,994.36,994.36,983.37,983.37
664,1312,bear,974.21,974.21,946.72,946.72
665,1313,bull,1047.50,970.54,1047.50,970.54
666,1314,bull,979.70,950.39,979.70,950.39
667,1318,bull,1047.50,970.54,1047.50,970.54
668,1320,bear,979.70,979.70,948.55,948.55
669,1324,bear,979.70,979.70,948.55,948.55
670,1326,bull,965.04,950.39,965.04,950.39
671,1328,bear,1038.34,1038.34,965.04,965.04
672,1330,bull,965.04,950.39,965.04,950.39
673,1332,bear,957.71,957.71,862.43,862.43
674,1333,bear,1038.34,1038.34,965.04,965.04
675,1335,bull,990.70,965.04,990.70,965.04
676,1336,bear,957.71,957.71,862.43,862.43
677,1338,bull,873.42,831.28,873.42,831.28
678,1340,bull,990.70,965.04,990.70,965.04
679,1342,bull,873.42,831.28,873.42,831.28
680,1343,bull,1014.52,1001.69,1014.52,1001.69
681,1344,bear,862.43,862.43,847.77,847.77
682,1348,bull,1014.52,1001.69,1014.52,1001.69
683,1350,bull,985.20,979.70,985.20,979.70
684,1354,bull,1016.35,897.25,1016.35,897.25
685,1355,bull,985.20,979.70,985.20,979.70
686,1356,bear,1034.68,1034.68,1029.18,1029.18
687,1358,bull,1036.51,992.53,1036.51,992.53
688,1360,bear,1034.68,1034.68,1029.18,1029.18
689,1362,bear,996.20,996.20,992.53,992.53
690,1363,bull,1036.51,992.53,1036.51,992.53
691,1365,bull,1150.12,1036.51,1150.12,1036.51
692,1366,bear,996.20,996.20,992.53,992.53
693,1368,bear,961.38,961.38,904.58,904.58
694,1370,bull,1150.12,1036.51,1150.12,1036.51
695,1372,bear,961.38,961.38,904.58,904.58
696,1373,bear,1175.77,1175.77,1047.50,1047.50
697,1374,bear,880.75,880.75,816.62,816.62
698,1378,bear,1175.77,1175.77,1047.50,1047.50
699,1380,bull,904.58,757.98,904.58,757.98
700,1384,bull,814.79,800.13,814.79,800.13
701,1385,bull,904.58,757.98,904.58,757.98
702,1386,bear,845.94,845.94,834.94,834.94
703,1388,bear,816.62,816.62,677.36,677.36
704,1390,bear,845.94,845.94,834.94,834.94
705,1392,bull,1001.69,959.55,1001.69,959.55
706,1393,bear,816.62,816.62,677.36,677.36
707,1395,bull,721.34,699.35,721.34,699.35
708,1396,bull,1001.69,959.55,1001.69,959.55
709,1400,bull,721.34,699.35,721.34,699.35
710,1403,bear,708.51,708.51,671.86,671.86
711,1408,bear,708.51,708.51,671.86,671.86
712,1410,bear,567.42,567.42,451.97,451.97
713,1415,bear,567.42,567.42,451.97,451.97
714,1418,bull,604.06,521.61,604.06,521.61
715,1423,bull,604.06,521.61,604.06,521.61
716,1425,bear,600.40,600.40,490.45,490.45
717,1430,bear,600.40,600.40,490.45,490.45
718,1433,bear,455.64,455.64,364.02,364.02
719,1438,bear,455.64,455.64,364.02,364.02
720,1440,bear,343.86,343.86,241.25,241.25
721,1445,bear,1043.84,343.86,241.25,1031.01
722,1448,bull,1043.84,228.42,243.08,1031.01
723,1453,bull,243.08,228.42,243.08,228.42
724,1455,bull,298.05,250.41,298.05,250.41
725,1460,bull,298.05,250.41,298.05,250.41
726,1463,bull,364.02,321.87,364.02,321.87
727,1468,bull,364.02,321.87,364.02,321.87
728,1470,bear,285.23,285.23,184.45,184.45
729,1475,bear,285.23,285.23,184.45,184.45
730,1478,bull,239.42,204.60,239.42,204.60
731,1483,bull,239.42,204.60,239.42,204.60
732,1485,bear,202.77,202.77,136.80,136.80
733,1490,bear,202.77,202.77,136.80,136.80
734,1493,bear,224.76,224.76,206.43,206.43
735,1498,bear,224.76,224.76,206.43,206.43
736,1500,bull,283.39,263.24,283.39,263.24
737,1505,bull,283.39,263.24,283.39,263.24
738,1508,bear,219.26,219.26,112.98,112.98
739,1513,bear,219.26,219.26,112.98,112.98
740,1515,bear,39.69,39.69,30.52,30.52
741,1520,bear,39.69,39.69,30.52,30.52
742,1523,bear,189.94,189.94,109.32,109.32
743,1528,bear,189.94,189.94,109.32,109.32
744,1530,bull,111.15,50.68,111.15,50.68
