date,idx,x,type,high,open,close,low
2026-07-01,385,1513,bull,1348.39,1273.31,1348.39,1273.31
2026-07-01,386,1520,bull,1433.60,1374.76,1433.60,1374.76
2026-07-01,387,1528,bear,1433.60,1433.60,1413.31,1413.31
2026-07-01,388,1535,bull,1455.92,1419.40,1455.92,1419.40
2026-07-01,389,1543,bull,1445.78,1417.37,1445.78,1417.37
2026-07-01,390,1550,bull,1528.96,1441.72,1528.96,1441.72
2026-07-01,391,1558,bull,1528.96,1520.85,1528.96,1520.85
2026-07-01,392,1565,bull,1528.96,1441.72,1528.96,1441.72
2026-07-01,393,1573,bear,1543.17,1543.17,1472.15,1472.15
2026-07-01,394,1580,bull,1468.09,1464.04,1468.09,1464.04
2026-07-01,395,1588,bear,1459.98,1459.98,1443.75,1443.75
2026-07-01,396,1595,bear,1437.66,1437.66,1311.86,1311.86
2026-07-01,397,1603,bear,1307.81,1307.81,1269.26,1269.26
2026-07-01,398,1610,bear,1234.76,1234.76,1184.04,1184.04
2026-07-01,399,1618,bull,1311.86,1222.59,1311.86,1222.59
2026-07-01,400,1625,bull,1520.85,1319.98,1520.85,1319.98
2026-07-01,401,1633,bear,1518.82,1518.82,1271.28,1271.28
2026-07-01,402,1640,bull,1368.68,1297.66,1368.68,1297.66
2026-07-01,403,1648,bull,1364.62,1358.53,1364.62,1358.53
2026-07-01,404,1655,bear,1344.33,1344.33,1289.55,1289.55
2026-07-01,405,1663,bear,1267.23,1267.23,1206.36,1206.36
2026-07-01,406,1670,bear,1228.68,1228.68,1184.04,1184.04
2026-07-01,407,1678,bear,1248.97,1248.97,1192.16,1192.16
2026-07-01,408,1685,bull,1271.28,1206.36,1271.28,1206.36
2026-07-01,409,1693,bull,1322.01,1279.40,1322.01,1279.40
2026-07-01,410,1700,bull,1431.57,1315.92,1431.57,1315.92
2026-07-01,411,1708,bull,1441.72,1435.63,1441.72,1435.63
2026-07-01,412,1715,bull,1543.17,1386.94,1543.17,1386.94
2026-07-01,413,1723,bull,1693.31,1541.14,1693.31,1541.14
2026-07-01,414,1730,bull,1770.41,1679.11,1770.41,1679.11
2026-07-01,415,1738,bull,1693.31,1541.14,1693.31,1541.14
2026-07-01,416,1745,bull,1770.41,1679.11,1770.41,1679.11
